game_id,round_id,player_id,to_hare1,to_hare2,to_stag1,chat_visible,others_visible,action
15,4,player2,7,0,3,False,False,hare
15,5,player1,4,12,5,False,False,miss
15,5,player2,13,1,8,False,False,miss
16,2,player1,0,10,9,False,True,miss
16,2,player2,9,1,2,False,True,miss
16,3,player1,6,15,8,False,True,stag
16,3,player2,7,16,9,False,True,stag
16,4,player1,10,16,4,False,True,stag
16,4,player2,9,17,5,False,True,stag
16,5,player1,6,6,14,False,True,stag
16,5,player2,7,7,15,False,True,stag
17,2,player1,3,8,15,False,False,stag
17,2,player2,2,7,16,False,False,stag
17,3,player1,5,15,13,False,False,stag
17,3,player2,6,16,12,False,False,stag
17,4,player1,14,7,7,False,False,stag
17,4,player2,14,7,7,False,False,stag
17,5,player1,7,11,10,False,False,stag
17,5,player2,7,11,10,False,False,stag
18,2,player1,8,1,20,True,True,miss
18,2,player2,5,12,9,True,True,miss
18,3,player1,10,2,7,True,True,stag
18,3,player2,10,2,7,True,True,stag
18,4,player1,16,10,14,True,True,stag
18,4,player2,16,10,14,True,True,stag
18,5,player1,20,5,17,True,True,stag
18,5,player2,20,5,17,True,True,stag
19,1,player1,3,0,6,False,False,hare
19,1,player2,5,2,4,False,False,hare
19,2,player1,0,5,14,False,False,hare
19,2,player2,6,1,14,False,False,hare
19,3,player1,9,15,5,False,False,stag
19,3,player2,13,11,9,False,False,stag
19,4,player1,9,5,18,False,False,stag
19,4,player2,10,4,17,False,False,stag
19,5,player1,1,11,6,False,False,hare
19,5,player2,7,3,2,False,False,hare
20,2,player1,0,15,14,False,True,hare
20,2,player2,3,18,11,False,True,hare
20,3,player1,8,1,13,False,True,hare
20,3,player2,20,13,1,False,True,hare
20,4,player1,0,11,18,False,True,hare
20,4,player2,2,11,18,False,True,hare
20,5,player1,6,1,9,False,True,hare
20,5,player2,4,9,13,False,True,hare
21,2,player1,6,0,5,False,True,hare
21,2,player2,1,7,12,False,True,hare
21,3,player1,8,2,4,False,True,hare
21,3,player2,1,7,7,False,True,hare
21,4,player1,1,11,4,False,True,miss
21,4,player2,2,12,3,False,True,miss
21,5,player1,12,1,0,False,True,hare
21,5,player2,0,13,12,False,True,hare
22,1,player1,10,0,3,False,True,miss
22,1,player2,9,9,8,False,True,miss
22,2,player1,13,0,13,False,True,miss
22,2,player2,16,3,16,False,True,miss
22,3,player1,14,0,4,False,True,hare
22,3,player2,8,6,2,False,True,hare
22,4,player1,0,9,6,False,True,miss
22,4,player2,5,8,1,False,True,miss
22,5,player1,5,2,8,False,True,hare
22,5,player2,0,3,7,False,True,hare
23,2,player1,22,12,5,True,False,stag
23,2,player2,23,13,6,True,False,stag
23,3,player1,6,2,8,True,False,stag
23,3,player2,5,1,9,True,False,stag
23,4,player1,9,16,11,True,False,stag
23,4,player2,8,15,10,True,False,stag
23,5,player1,9,11,7,True,False,stag
23,5,player2,10,10,8,True,False,stag
24,2,player1,2,19,0,True,True,hare
24,2,player2,0,21,2,True,True,hare
24,3,player1,10,6,8,True,True,hare
24,3,player2,8,0,10,True,True,hare
24,4,player1,12,1,4,True,True,hare
24,4,player2,0,13,12,True,True,hare
24,5,player1,0,15,5,True,True,hare
24,5,player2,13,12,8,True,True,hare
25,2,player1,18,12,15,False,False,stag
25,2,player2,18,12,15,False,False,stag
25,3,player1,14,7,7,False,False,stag
25,3,player2,15,8,6,False,False,stag
25,4,player1,11,11,7,False,False,stag
25,4,player2,10,10,6,False,False,stag
25,5,player1,9,8,9,False,False,stag
25,5,player2,9,8,9,False,False,stag
26,2,player1,1,14,8,False,False,hare
26,2,player2,7,20,6,False,False,hare
26,3,player1,1,0,10,False,False,hare
26,3,player2,3,4,6,False,False,hare
26,4,player1,5,1,7,False,False,hare
26,4,player2,7,5,1,False,False,hare
26,5,player1,20,8,9,False,False,stag
26,5,player2,24,10,13,False,False,stag
27,1,player1,0,12,5,True,False,hare
27,1,player2,11,11,8,True,False,hare
27,2,player1,0,9,10,True,False,hare
27,2,player2,3,8,7,True,False,hare
27,3,player1,9,0,6,True,False,hare
27,3,player2,9,0,6,True,False,hare
27,4,player1,0,21,19,True,False,hare
27,4,player2,0,21,19,True,False,hare
27,5,player1,4,0,7,True,False,hare
27,5,player2,7,5,12,True,False,hare
28,2,player1,8,15,8,True,True,stag
28,2,player2,8,15,8,True,True,stag
28,3,player1,12,4,13,True,True,stag
28,3,player2,12,4,13,True,True,stag
28,4,player1,2,14,4,True,True,stag
28,4,player2,2,14,4,True,True,stag
28,5,player1,10,8,16,True,True,stag
28,5,player2,10,8,16,True,True,stag
29,2,player1,5,9,14,True,True,stag
29,2,player2,6,10,13,True,True,stag
29,3,player1,13,6,7,True,True,stag
29,3,player2,12,7,8,True,True,stag
29,4,player1,14,17,16,True,True,stag
29,4,player2,13,16,17,True,True,stag
29,5,player1,13,23,13,True,True,stag
29,5,player2,14,24,14,True,True,stag
30,2,player1,6,0,1,False,True,hare
30,2,player2,6,12,11,False,True,hare
30,3,player1,20,0,2,False,True,miss
30,3,player2,16,6,6,False,True,miss
30,4,player1,0,7,4,False,True,miss
30,4,player2,2,7,4,False,True,miss
30,5,player1,0,4,3,False,True,miss
30,5,player2,11,11,12,False,True,miss
31,1,player1,0,6,14,True,True,hare
31,1,player2,6,4,8,True,True,hare
31,2,player1,12,2,1,True,True,miss
31,2,player2,1,11,12,True,True,miss
31,3,player1,10,19,12,True,True,stag
31,3,player2,11,20,13,True,True,stag
31,4,player1,15,17,3,True,True,hare
31,4,player2,3,1,19,True,True,hare
31,5,player1,4,15,1,True,True,miss
31,5,player2,11,0,14,True,True,miss
32,1,player1,0,5,14,True,True,hare
32,1,player2,20,15,12,True,True,hare
32,2,player1,3,2,14,True,True,stag
32,2,player2,4,7,11,True,True,stag
