id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,origin_id,network_id,contents,complete
1,2024-04-14 14:42:37.394808,,,,,,f,,,"{""type"": ""spawn item"", ""position"": [6, 14]}",event,1,1,,f
2,2024-04-14 14:42:37.425078,,,,,,f,,,"{""type"": ""spawn item"", ""position"": [9, 6]}",event,1,1,,f
3,2024-04-14 14:42:37.436977,,,,,,f,,,"{""type"": ""spawn item"", ""position"": [13, 7]}",event,1,1,,f
4,2024-04-14 15:00:22.651379,,,,,,f,,,"{""type"": ""connect"", ""player_id"": ""2"", ""server_time"": 1713106822.5873103}",event,2,1,,f
5,2024-04-14 15:00:22.660492,,,,,,f,,,"{""rows"": 15, ""items"": [{""id"": 0, ""item_id"": ""hare"", ""maturity"": 0.0, ""position"": [6, 14], ""remaining_uses"": 1, ""creation_timestamp"": 1713105757.33862}, {""id"": 1, ""item_id"": ""hare"", ""maturity"": 0.0, ""position"": [9, 6], ""remaining_uses"": 1, ""creation_timestamp"": 1713105757.4194608}, {""id"": 2, ""item_id"": ""stag"", ""maturity"": 0.0, ""position"": [13, 7], ""remaining_uses"": 1, ""creation_timestamp"": 1713105757.4334028}], ""round"": 0, ""walls"": [], ""columns"": 15, ""players"": [{""id"": ""2"", ""name"": ""Marie Thompson"", ""color"": ""ORANGE"", ""score"": 0, ""payoff"": 0, ""position"": [4, 7], ""motion_auto"": false, ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""maturity"": 0.0, ""position"": [0, 0], ""remaining_uses"": 1, ""creation_timestamp"": 1713106822.6473112}, ""recruiter_id"": ""hotair"", ""identity_visible"": true, ""motion_direction"": ""right"", ""motion_timestamp"": 0, ""motion_speed_limit"": 8}], ""chat_visible"": true, ""others_visible"": true, ""donation_active"": false}",state,1,1,"{""players"": [{""id"": ""2"", ""position"": [4, 7], ""score"": 0, ""payoff"": 0, ""color"": ""ORANGE"", ""motion_auto"": false, ""motion_direction"": ""right"", ""motion_speed_limit"": 8, ""motion_timestamp"": 0, ""name"": ""Marie Thompson"", ""identity_visible"": true, ""recruiter_id"": ""hotair"", ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""position"": [0, 0], ""maturity"": 0.0, ""creation_timestamp"": 1713106822.6473112, ""remaining_uses"": 1}}], ""round"": 0, ""donation_active"": false, ""rows"": 15, ""columns"": 15, ""chat_visible"": true, ""others_visible"": true, ""walls"": [], ""items"": [{""id"": 0, ""item_id"": ""hare"", ""position"": [6, 14], ""maturity"": 0.0, ""creation_timestamp"": 1713105757.33862, ""remaining_uses"": 1}, {""id"": 1, ""item_id"": ""hare"", ""position"": [9, 6], ""maturity"": 0.0, ""creation_timestamp"": 1713105757.4194608, ""remaining_uses"": 1}, {""id"": 2, ""item_id"": ""stag"", ""position"": [13, 7], ""maturity"": 0.0, ""creation_timestamp"": 1713105757.4334028, ""remaining_uses"": 1}]}",t
6,2024-04-14 15:00:22.682885,,,,,,f,,,"{""rows"": 15, ""round"": 0, ""columns"": 15, ""players"": [{""id"": ""2"", ""name"": ""Marie Thompson"", ""color"": ""ORANGE"", ""score"": 0, ""payoff"": 0.0, ""position"": [4, 7], ""motion_auto"": false, ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""maturity"": 0.0, ""position"": [0, 0], ""remaining_uses"": 1, ""creation_timestamp"": 1713106822.6473112}, ""recruiter_id"": ""hotair"", ""identity_visible"": true, ""motion_direction"": ""right"", ""motion_timestamp"": 0, ""motion_speed_limit"": 8}], ""chat_visible"": true, ""others_visible"": true, ""donation_active"": false}",state,1,1,"{""players"": [{""id"": ""2"", ""position"": [4, 7], ""score"": 0, ""payoff"": 0.0, ""color"": ""ORANGE"", ""motion_auto"": false, ""motion_direction"": ""right"", ""motion_speed_limit"": 8, ""motion_timestamp"": 0, ""name"": ""Marie Thompson"", ""identity_visible"": true, ""recruiter_id"": ""hotair"", ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""position"": [0, 0], ""maturity"": 0.0, ""creation_timestamp"": 1713106822.6473112, ""remaining_uses"": 1}}], ""round"": 0, ""donation_active"": false, ""rows"": 15, ""columns"": 15, ""chat_visible"": true, ""others_visible"": true}",t
7,2024-04-14 15:00:22.702082,,,,,,f,,,"{""rows"": 15, ""round"": 0, ""columns"": 15, ""players"": [{""id"": ""2"", ""name"": ""Marie Thompson"", ""color"": ""ORANGE"", ""score"": 0, ""payoff"": 0.0, ""position"": [4, 7], ""motion_auto"": false, ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""maturity"": 0.0, ""position"": [0, 0], ""remaining_uses"": 1, ""creation_timestamp"": 1713106822.6473112}, ""recruiter_id"": ""hotair"", ""identity_visible"": true, ""motion_direction"": ""right"", ""motion_timestamp"": 0, ""motion_speed_limit"": 8}], ""chat_visible"": true, ""others_visible"": true, ""donation_active"": false}",state,1,1,"{""players"": [{""id"": ""2"", ""position"": [4, 7], ""score"": 0, ""payoff"": 0.0, ""color"": ""ORANGE"", ""motion_auto"": false, ""motion_direction"": ""right"", ""motion_speed_limit"": 8, ""motion_timestamp"": 0, ""name"": ""Marie Thompson"", ""identity_visible"": true, ""recruiter_id"": ""hotair"", ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""position"": [0, 0], ""maturity"": 0.0, ""creation_timestamp"": 1713106822.6473112, ""remaining_uses"": 1}}], ""round"": 0, ""donation_active"": false, ""rows"": 15, ""columns"": 15, ""chat_visible"": true, ""others_visible"": true}",t
8,2024-04-14 15:00:22.725861,,,,,,f,,,"{""rows"": 15, ""round"": 0, ""columns"": 15, ""players"": [{""id"": ""2"", ""name"": ""Marie Thompson"", ""color"": ""ORANGE"", ""score"": 0, ""payoff"": 0.0, ""position"": [4, 7], ""motion_auto"": false, ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""maturity"": 0.0, ""position"": [0, 0], ""remaining_uses"": 1, ""creation_timestamp"": 1713106822.6473112}, ""recruiter_id"": ""hotair"", ""identity_visible"": true, ""motion_direction"": ""right"", ""motion_timestamp"": 0, ""motion_speed_limit"": 8}], ""chat_visible"": true, ""others_visible"": true, ""donation_active"": false}",state,1,1,"{""players"": [{""id"": ""2"", ""position"": [4, 7], ""score"": 0, ""payoff"": 0.0, ""color"": ""ORANGE"", ""motion_auto"": false, ""motion_direction"": ""right"", ""motion_speed_limit"": 8, ""motion_timestamp"": 0, ""name"": ""Marie Thompson"", ""identity_visible"": true, ""recruiter_id"": ""hotair"", ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""position"": [0, 0], ""maturity"": 0.0, ""creation_timestamp"": 1713106822.6473112, ""remaining_uses"": 1}}], ""round"": 0, ""donation_active"": false, ""rows"": 15, ""columns"": 15, ""chat_visible"": true, ""others_visible"": true}",t
9,2024-04-14 15:00:22.747821,,,,,,f,,,"{""rows"": 15, ""round"": 0, ""columns"": 15, ""players"": [{""id"": ""2"", ""name"": ""Marie Thompson"", ""color"": ""ORANGE"", ""score"": 0, ""payoff"": 0.0, ""position"": [4, 7], ""motion_auto"": false, ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""maturity"": 0.0, ""position"": [0, 0], ""remaining_uses"": 1, ""creation_timestamp"": 1713106822.6473112}, ""recruiter_id"": ""hotair"", ""identity_visible"": true, ""motion_direction"": ""right"", ""motion_timestamp"": 0, ""motion_speed_limit"": 8}], ""chat_visible"": true, ""others_visible"": true, ""donation_active"": false}",state,1,1,"{""players"": [{""id"": ""2"", ""position"": [4, 7], ""score"": 0, ""payoff"": 0.0, ""color"": ""ORANGE"", ""motion_auto"": false, ""motion_direction"": ""right"", ""motion_speed_limit"": 8, ""motion_timestamp"": 0, ""name"": ""Marie Thompson"", ""identity_visible"": true, ""recruiter_id"": ""hotair"", ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""position"": [0, 0], ""maturity"": 0.0, ""creation_timestamp"": 1713106822.6473112, ""remaining_uses"": 1}}], ""round"": 0, ""donation_active"": false, ""rows"": 15, ""columns"": 15, ""chat_visible"": true, ""others_visible"": true}",t
109,2024-04-14 15:00:24.775333,,,,,,f,,,"{""rows"": 15, ""round"": 0, ""columns"": 15, ""players"": [{""id"": ""2"", ""name"": ""Marie Thompson"", ""color"": ""ORANGE"", ""score"": 0.0, ""payoff"": 0.0, ""position"": [4, 6], ""motion_auto"": false, ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""maturity"": 0.0, ""position"": [0, 0], ""remaining_uses"": 1, ""creation_timestamp"": 1713106822.6473112}, ""recruiter_id"": ""hotair"", ""identity_visible"": true, ""motion_direction"": ""left"", ""motion_timestamp"": 2.1150076389312744, ""motion_speed_limit"": 8}, {""id"": ""1"", ""name"": ""James Chavez"", ""color"": ""BLUE"", ""score"": 0.0, ""payoff"": 0.0, ""position"": [9, 10], ""motion_auto"": false, ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""maturity"": 0.0, ""position"": [0, 0], ""remaining_uses"": 1, ""creation_timestamp"": 1713106823.0414417}, ""recruiter_id"": ""hotair"", ""identity_visible"": true, ""motion_direction"": ""left"", ""motion_timestamp"": 2.049050807952881, ""motion_speed_limit"": 8}], ""chat_visible"": true, ""others_visible"": true, ""donation_active"": false}",state,1,1,"{""players"": [{""id"": ""2"", ""position"": [4, 6], ""score"": 0.0, ""payoff"": 0.0, ""color"": ""ORANGE"", ""motion_auto"": false, ""motion_direction"": ""left"", ""motion_speed_limit"": 8, ""motion_timestamp"": 2.1150076389312744, ""name"": ""Marie Thompson"", ""identity_visible"": true, ""recruiter_id"": ""hotair"", ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""position"": [0, 0], ""maturity"": 0.0, ""creation_timestamp"": 1713106822.6473112, ""remaining_uses"": 1}}, {""id"": ""1"", ""position"": [9, 10], ""score"": 0.0, ""payoff"": 0.0, ""color"": ""BLUE"", ""motion_auto"": false, ""motion_direction"": ""left"", ""motion_speed_limit"": 8, ""motion_timestamp"": 2.049050807952881, ""name"": ""James Chavez"", ""identity_visible"": true, ""recruiter_id"": ""hotair"", ""current_item"": {""id"": 3, ""item_id"": ""blank"", ""position"": [0, 0], ""maturity"": 0.0, ""creation_timestamp"": 1713106823.0414417, ""remaining_uses"": 1}}], ""round"": 0, ""donation_active"": false, ""rows"": 15, ""columns"": 15, ""chat_visible"": true, ""others_visible"": true}",t
