0,0,0,1,1,1,1,1
1,1,0,1,1,0,1,0
2,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1
4,0,0,1,1,1,1,1
5,1,1,1,1,1,1,1
6,1,1,0,1,1,1,0
7,0,0,1,0,0,0,1
8,1,0,1,1,1,1,1
9,1,0,1,1,1,1,1
10,1,1,0,1,1,0,1
11,0,0,1,0,0,0,1
12,1,1,1,1,1,1,1
13,1,1,1,0,0,0,0
14,0,1,0,0,0,0,0
15,1,0,1,1,1,1,0
16,0,0,0,0,0,0,1
17,1,0,1,0,0,1,0
18,0,1,0,0,0,0,0
19,1,0,1,1,1,1,1
20,1,1,0,0,0,0,0
21,0,0,1,1,1,1,1
22,1,0,1,0,1,1,1
23,1,0,0,0,0,0,0
24,0,1,1,1,1,1,1
25,0,0,1,1,1,1,1
26,0,0,0,0,1,1,1
27,1,1,1,0,0,1,1
28,0,0,0,0,0,0,1
29,1,1,1,1,1,1,1
30,0,1,1,1,1,1,1
31,0,0,1,0,1,1,1
32,1,0,1,1,1,1,0
33,1,0,0,1,1,1,1
34,1,1,1,1,1,1,1
35,0,0,1,1,1,1,1
36,1,0,1,1,1,1,1
37,0,1,1,1,1,1,1
38,0,1,1,0,0,1,1
39,0,0,0,0,1,1,0
40,0,0,1,1,1,1,1
41,1,1,1,1,1,1,1
42,1,0,1,1,0,0,0
43,0,1,0,0,0,0,0
44,1,1,1,1,1,1,1
45,1,1,0,0,0,1,1
46,1,1,1,1,1,1,1
47,1,1,0,1,1,1,1
48,0,1,0,0,0,1,1
49,1,1,1,1,1,1,1
50,1,1,0,0,0,0,1
